date_M_D_Y,outflow
03/01/2023,4.15
04/01/2023,4.61
05/01/2023,5.03
06/01/2023,7.08
07/01/2023,7.85
08/01/2023,6.82
09/01/2023,4.93
10/01/2023,4.03
11/01/2023,3.63
12/01/2023,3.48
01/01/2024,3.36
02/01/2024,4.42
03/01/2024,3.44
04/01/2024,2.76
05/01/2024,2.91
06/01/2024,3.71
07/01/2024,3.78
08/01/2024,3.56
09/01/2024,3.07
10/01/2024,5.04
11/01/2024,3.78
12/01/2024,3.46
01/01/2025,3.06
02/01/2025,3.15
03/01/2025,3.13
04/01/2025,3.13
05/01/2025,3.13
06/01/2025,3.13
07/01/2025,3.13
08/01/2025,3.13
09/01/2025,3.13
10/01/2025,3.13
11/01/2025,3.13
12/01/2025,3.13
01/01/2026,3.13
02/01/2026,3.13
03/01/2026,3.13
