date,Vmax,level,V,perc,Diff*1000,Qin,Qout
01/01/2017,233,329.64,128.572,55.1811158798283%,NA,1.88762656581463,9.572811751
01/02/2017,233,329.64,128.572,55.1811158798283%,0,1.88762656581463,9.572811751
01/03/2017,233,329.62,128.498,55.149356223176%,-73.9999999999839,7.77112617785187,7.856774326
01/04/2017,233,329.66,128.645,55.2124463519313%,146.999999999991,10.1154300518888,8.414041163
01/05/2017,233,329.76,129.014,55.3708154506438%,369,12.2856131333333,8.0147798
01/06/2017,233,329.6,128.424,55.1175965665236%,-590.000000000003,1.72810119929626,8.556804903
01/07/2017,233,329.47,127.944,54.9115879828326%,-480.000000000004,4.1579865244444,9.71354208
01/08/2017,233,329.44,127.834,54.8643776824034%,-109.999999999999,6.28360698285186,7.556755131
01/09/2017,233,329.54,128.203,55.0227467811159%,369,13.4908333333333,9.22
01/10/2017,233,329.66,128.645,55.2124463519313%,442.000000000007,13.9457407407408,8.83
01/11/2017,233,329.88,129.457,55.5609442060086%,811.999999999983,16.921671186148,7.523523038
01/12/2017,233,330.21,130.692,56.0909871244635%,1235.00000000001,22.2683584954816,7.974377014
01/13/2017,233,330.51,131.823,56.5763948497854%,1131,21.2299010717778,8.139623294
01/14/2017,233,330.57,132.049,56.6733905579399%,225.999999999999,13.9657407407407,11.35
01/15/2017,233,330.7,132.539,56.8836909871245%,490.000000000009,16.1612962962964,10.49
01/16/2017,233,330.47,131.672,56.5115879828326%,-867.000000000019,-0.00472222222243879,10.03
01/17/2017,233,330.4,131.408,56.3982832618026%,-263.999999999982,7.74444444444466,10.8
01/18/2017,233,330.319,131.103,56.2673819742489%,-305.000000000007,7.30990740740733,10.84
01/19/2017,233,330.55,131.974,56.6412017167382%,871.000000000009,19.0580594205186,8.977040902
01/20/2017,233,330.73,132.652,56.9321888412017%,677.999999999997,17.4278524472222,9.580630225
01/21/2017,233,330.688,132.494,56.8643776824034%,-158.000000000015,7.67083218829612,9.499535892
01/22/2017,233,330.976,133.58,57.3304721030043%,1086.00000000001,20.4877705724446,7.918326128
01/23/2017,233,331.07,133.94,57.4849785407725%,359.999999999985,13.1514200416665,8.984753375
01/24/2017,233,331.31,134.867,57.8828326180258%,927.000000000021,20.5665608456669,9.837394179
01/25/2017,233,331.658,136.21,58.4592274678112%,1342.99999999999,26.5439814814814,11
01/26/2017,233,332.06,137.767,59.1274678111588%,1556.99999999999,26.5508333333332,8.53
01/27/2017,233,332.49,139.466,59.856652360515%,1699.00000000001,28.456156848852,8.791804997
01/28/2017,233,332.624,139.995,60.0836909871245%,528.999999999996,15.3299211721851,9.207235987
01/29/2017,233,332.81,140.73,60.3991416309013%,734.999999999985,17.5751400184443,9.068195574
01/30/2017,233,332.88,141.006,60.5175965665236%,276.00000000001,12.9504458244446,9.75600138
01/31/2017,233,333.27,142.568,61.187982832618%,1562.00000000001,26.9662922837038,8.88758858
02/01/2017,233,333.65,144.1,61.8454935622318%,1531.99999999998,26.313191710148,8.828704187
02/02/2017,233,333.69,144.187272727,61.8829496682403%,87.2727269999984,8.80537508101836,8.7212
02/03/2017,233,333.54,143.90975,61.7638412017167%,-277.52272699999,5.21078854332022,8.42285714285714
02/04/2017,233,333.39,143.052,61.3957081545064%,-857.749999999982,1,8.43
02/05/2017,233,333.29,142.649,61.2227467811159%,-403.00000000002,6.66740855933321,8.441095226
02/06/2017,233,333.107,141.911,60.906008583691%,-738,5.37527529274062,8.931409552
02/07/2017,233,332.97,141.362,60.6703862660944%,-549.000000000007,0.5,7.955669535
02/08/2017,233,333.16,142.125,60.9978540772532%,763.000000000005,16.7866880535186,7.955669535
02/09/2017,233,333.42,143.173,61.4476394849785%,1048,16.7468112131668,8.118660484
02/10/2017,233,333.74,144.462,62.0008583690987%,1289.00000000002,23.2476902941481,7.979597771
02/11/2017,233,334.12,146.006,62.6635193133047%,1543.99999999998,24.3914037581111,7.958428897
02/12/2017,233,334.47,147.451,63.2836909871245%,1444.99999999999,25.7692963974629,8.372940622
02/13/2017,233,334.314,146.807,63.0072961373391%,-643.999999999977,13.6099938476298,8.287004843
02/14/2017,233,334.44,147.327,63.2304721030043%,519.999999999982,7.64022360709245,9.706035077
02/15/2017,233,335.018,149.716,64.2557939914163%,2389.00000000001,39.2578862599631,11.607423297
02/16/2017,233,335.69,152.566,65.4789699570815%,2849.99999999999,44.047226899037,12.635189862
02/17/2017,233,336.3,155.179,66.6004291845494%,2613,44.5450640236849,11.527646651
02/18/2017,233,336.93,157.907,67.7712446351931%,2728.00000000001,40.3584442176112,9.101049669
