date,Vmax,level,V,perc,Diff*1000,Qin,Qout
10/01/2024,233,314.52,80.573,34.58%,-252,5.1973055555556,8.11397222222223
10/02/2024,233,314.45,80.363,34.49%,-311,4.94661226851842,8.54614930555555
10/03/2024,233,314.42,80.328,34.47%,-26,7.79264004629633,8.09356597222222
10/04/2024,233,314.41,80.222,34.43%,-121,7.44334259259264,8.84380555555555
10/05/2024,233,314.26,79.853,34.27%,-255,4.56779166666666,7.51918055555555
10/06/2024,233,314.13,79.483,34.11%,-425.000000000005,3.12546643518513,8.04444791666667
10/07/2024,233,314.01,79.134,33.96%,-448,3.55767544199252,8.7428606271777
10/08/2024,233,313.76,78.453,33.67%,-609.999999999997,3.07597800925925,10.1361631944444
10/09/2024,233,313.54,77.859,33.41%,-550.999999999994,3.97689699074086,10.3542118055556
10/10/2024,233,313.39,77.411,33.22%,-459.000000000008,4.90348611111101,10.2159861111111
10/11/2024,233,313.15,76.86,32.98%,-639.000000000002,0.689246527777763,8.08507986111112
10/12/2024,233,312.906,76.196,32.7%,-664,0.314814814814846,8
10/13/2024,233,312.71,75.655,32.46%,-539,0.334740740740789,6.57316666666667
10/14/2024,233,312.45,74.999,32.18%,-605,0.421497685185277,7.4238125
10/15/2024,233,312.19,74.341,31.9%,-635,0.249973379629611,7.59951041666666
10/16/2024,233,311.95,73.723,31.64%,-618,0.118340277777678,7.27111805555556
10/17/2024,233,311.75,73.177,31.4%,-548,0.223730324074169,6.56632291666667
10/18/2024,233,311.52,72.666,31.18%,-590,1.57501851851852,8.40372222222222
10/19/2024,233,311.18,71.808,30.81%,-808,0.843085648148264,10.1949375
10/20/2024,233,310.93,71.154,30.53%,-604,0.516912037036912,7.50765277777778
10/21/2024,233,310.69,70.554,30.28%,-670,0.87708912037044,8.63171875
10/22/2024,233,310.34,69.658,29.89%,-847,0.238429398148147,10.0416701388889
10/23/2024,233,310.02,68.88,29.56%,-768,0.243409722222152,9.13229861111111
10/24/2024,233,309.71,68.122,29.23%,-758,0.410396990740788,9.18354513888889
10/25/2024,233,309.46,67.509,28.97%,-593,0.316417824074074,7.17984375
10/26/2024,233,309.21,66.912,28.71%,-610,0.459814814814885,7.52
10/27/2024,233,309,66.423,28.5%,-489,1.52027777777773,7.18
10/28/2024,233,308.72,65.731,28.21%,-792,0.423333333333416,9.59
10/29/2024,233,308.4,64.977,27.88%,-651,1.21527777777778,8.75
10/30/2024,233,308.11,64.297,27.59%,-700,0.882523148148065,8.984375
10/31/2024,233,307.86,63.691,27.33%,-616,1.37037037037043,8.5
11/01/2024,233,307.732,63.403,27.21%,-310,3.34035648148151,6.92831944444444
11/02/2024,233,307.66,63.253,27.14%,-45,6.27221874999993,6.79305208333333
11/03/2024,233,307.64,63.192,27.12%,-30,5.99277083333334,6.33999305555556
11/04/2024,233,307.62,63.148,27.1%,-50,6.12926157407411,6.70796527777778
11/05/2024,233,307.53,62.921,27%,-312,6.04052430555558,9.65163541666666
11/06/2024,233,307.45,62.74,26.92%,-180,7.03074305555551,9.1140763888889
11/07/2024,233,307.42,62.694,26.9%,12,7.18735416666668,7.04846527777778
11/08/2024,233,307.51,62.981,27.03%,292,12.8546956018518,9.47506597222222
11/09/2024,233,307.58,63.144,27.1%,217,9.93069212962968,7.41911805555556
11/10/2024,233,307.6,63.192,27.12%,59,6.29503703703697,5.61216666666666
11/11/2024,233,307.62,63.222,27.13%,26,6.2783564814815,5.97743055555556
11/12/2024,233,307.69,63.41,27.21%,197,8.59143634259262,6.31134375
11/13/2024,233,307.81,63.731,27.35%,344,10.7443217592592,6.76284027777777
11/14/2024,233,307.97,64.067,27.49%,292,9.9344421296297,6.5548125
11/15/2024,233,308.17,64.56,27.7%,424,11.7951495676861,6.88774216027874
11/16/2024,233,308.28,64.818,27.81%,426,11.2544236111111,6.32386805555555
11/17/2024,233,308.51,65.347,28.04%,494,11.7735231481483,6.05593055555556
11/18/2024,233,308.63,65.655,28.17%,323,10.3914884259258,6.6530625
11/19/2024,233,308.76,65.947,28.3%,234,11.0585833333334,8.35025
11/20/2024,233,308.86,66.16,28.39%,213,10.6673194444444,8.20204166666667
11/21/2024,233,309.03,66.612,28.58%,394,11.9087476851853,7.3485625
11/22/2024,233,309.24,67.054,28.77%,405,11.2939305555555,6.60643055555556
11/23/2024,233,309.75,68.349,29.33%,1318,21.9377719907407,6.68314236111111
11/24/2024,233,310.31,69.668,29.9%,1310,20.7793599537037,5.61732291666666
11/25/2024,233,310.79,70.903,30.43%,1185,20.3180659722222,6.60278819444445
11/26/2024,233,311.26,72.072,30.93%,1169,20.0683599537037,6.53826736111111
11/27/2024,233,311.775,73.41,31.5%,1323,21.6032777777777,6.29077777777778
11/28/2024,233,312.28,74.73,32.07%,1311,21.5137847222223,6.34017361111111
11/29/2024,233,312.56,75.471,32.39%,750,15.2952673611111,6.61471180555556
11/30/2024,233,312.85,76.209,32.7%,724,15.1693090721383,6.78967944250871
12/01/2024,233,313.15,76.979,33.03%,754,14.8315150462962,6.10466319444444
12/02/2024,233,313.42,77.721,33.35%,723,15.17040625,6.80235069444444
12/03/2024,233,313.71,78.495,33.68%,809,16.6898321759259,7.32640625
12/04/2024,233,314.01,79.31,34.03%,804,16.1202013888889,6.81464583333334
12/05/2024,233,314.33,80.152,34.4%,714,16.4767430555555,8.21285416666667
12/06/2024,233,314.41,80.363,34.49%,332,12.1651516203704,8.32255902777777
12/07/2024,233,314.54,80.725,34.64%,311,11.2870509259259,7.6875138888889
12/08/2024,233,314.65,81.027,34.77%,321,12.2152777777778,8.5
12/09/2024,233,314.77,81.392,34.93%,330,11.3345034722222,7.51505902777779
12/10/2024,233,314.92,81.783,35.1%,393,11.4470868055556,6.89847569444444
12/11/2024,233,315.05,82.176,35.26%,399,12.5379513888889,7.91989583333333
12/12/2024,233,315.05,82.162,35.26%,17,8.72482870370376,8.52806944444445
12/13/2024,233,315.1,82.289,35.31%,106,10.5566331018518,9.32978125
12/14/2024,233,315.08,82.201,35.27%,11,9.24438425925932,9.11706944444444
12/15/2024,233,315.12,82.325,35.33%,75,9.21355733491493,8.34550177935943
12/16/2024,233,315.12,82.336,35.33%,-36,8.18839583333329,8.6050625
12/17/2024,233,315.24,82.45,35.38%,50,10.1133356481482,9.53463194444444
12/18/2024,233,315.26,82.522,35.41%,96,9.20756944444447,8.09645833333333
12/19/2024,233,315.32,82.666,35.47%,69,9.0742569444445,8.27564583333333
12/20/2024,233,315.31,82.666,35.47%,128,9.35286689814815,7.87138541666667
12/21/2024,233,315.41,82.954,35.6%,239.999999999997,8.30855555555552,5.53077777777778
12/22/2024,233,315.51,83.242,35.72%,317.999999999997,9.22644444444441,5.54588888888889
12/23/2024,233,315.61,83.511,35.84%,259.000000000005,9.43921990740746,6.44153472222222
12/24/2024,233,315.66,83.694,35.92%,216.999999999993,8.78635532407399,6.27478125
12/25/2024,233,315.74,83.871,35.99%,181.000000000007,7.74806712962971,5.65315972222222
12/26/2024,233,315.83,84.126,36.1%,210.999999999995,8.61164351851846,6.16951388888889
12/27/2024,233,315.88,84.25,36.15%,172.999999999995,7.52770717592587,5.52539236111111
12/28/2024,233,315.98,84.547,36.28%,256.999999999997,8.34527662037033,5.37073958333333
12/29/2024,233,316.07,84.794,36.39%,269.000000000014,8.46937037037053,5.35594444444444
12/30/2024,233,316.17,85.088,36.51%,300.999999999997,8.72729629629626,5.2435
12/31/2024,233,316.25,85.324,36.61%,248.99999999999,8.70118834688335,5.81924390243902
01/01/2025,233,316.16,85.071,36.51%,-259,2.45048842592592,5.44817361111111
01/02/2025,233,316.07,84.808,36.39%,-284.999999999991,2.52639930555566,5.82501041666667
01/03/2025,233,315.99,84.574,36.29%,-204.000000000009,3.50514930555545,5.86626041666667
01/04/2025,233,315.99,84.558,36.29%,-8.9999999999911,5.30713541666677,5.41130208333333
01/05/2025,233,316.03,84.648,36.32%,104.000000000003,6.14744675925929,4.94374305555555
