date,Vmax,level,V,perc,Diff.1000,Qin,Qout,Qin_calc,neg_Qin,Qin_calc_interp,Qout_calc,Qin_calc_before_interp
2017-01-02,233,329.64,128.572,55.1811158798283%,0,1.88762656581463,9.572811751,9.572811751,NA,9.572811751,9.572811751,9.572811751
2017-01-03,233,329.62,128.498,55.149356223176%,-73.9999999999839,7.77112617785187,7.856774326,7.00029284451838,NA,7.00029284451838,7.856774326,7.00029284451838
2017-01-04,233,329.66,128.645,55.2124463519313%,146.999999999991,10.1154300518888,8.414041163,10.1154300518891,NA,10.1154300518891,8.414041163,10.1154300518891
2017-01-05,233,329.76,129.014,55.3708154506438%,369,12.2856131333333,8.0147798,12.2856131333333,NA,12.2856131333333,8.0147798,12.2856131333333
2017-01-06,233,329.6,128.424,55.1175965665236%,-590.000000000003,1.72810119929626,8.556804903,1.72810119929626,NA,1.72810119929626,8.556804903,1.72810119929626
2017-01-07,233,329.47,127.944,54.9115879828326%,-480.000000000004,4.1579865244444,9.71354208,4.1579865244444,NA,4.1579865244444,9.71354208,4.1579865244444
2017-01-08,233,329.44,127.834,54.8643776824034%,-109.999999999999,6.28360698285186,7.556755131,6.28360698285186,NA,6.28360698285186,7.556755131,6.28360698285186
2017-01-09,233,329.54,128.203,55.0227467811159%,369,13.4908333333333,9.22,13.4908333333333,NA,13.4908333333333,9.22,13.4908333333333
2017-01-10,233,329.66,128.645,55.2124463519313%,442.000000000007,13.9457407407408,8.83,13.9457407407408,NA,13.9457407407408,8.83,13.9457407407408
2017-01-11,233,329.88,129.457,55.5609442060086%,811.999999999983,16.921671186148,7.523523038,16.921671186148,NA,16.921671186148,7.523523038,16.921671186148
2017-01-12,233,330.21,130.692,56.0909871244635%,1235.00000000001,22.2683584954816,7.974377014,22.2683584954816,NA,22.2683584954816,7.974377014,22.2683584954816
2017-01-13,233,330.51,131.823,56.5763948497854%,1131,21.2299010717778,8.139623294,21.2299010717778,NA,21.2299010717778,8.139623294,21.2299010717778
2017-01-14,233,330.57,132.049,56.6733905579399%,225.999999999999,13.9657407407407,11.35,13.9657407407407,NA,13.9657407407407,11.35,13.9657407407407
2017-01-15,233,330.7,132.539,56.8836909871245%,490.000000000009,16.1612962962964,10.49,16.1612962962961,NA,16.1612962962961,10.49,16.1612962962961
2017-01-16,233,330.47,131.672,56.5115879828326%,-867.000000000019,-0.00472222222243879,10.03,11.9528703703702,negative,11.9528703703702,21.9875925925923,NA
2017-01-17,233,330.4,131.408,56.3982832618026%,-263.999999999982,7.74444444444466,10.8,7.74444444444433,NA,7.74444444444433,10.8,7.74444444444433
2017-01-18,233,330.319,131.103,56.2673819742489%,-305.000000000007,7.30990740740733,10.84,7.30990740740766,NA,7.30990740740766,10.84,7.30990740740766
2017-01-19,233,330.55,131.974,56.6412017167382%,871.000000000009,19.0580594205186,8.977040902,19.0580594205183,NA,19.0580594205183,8.977040902,19.0580594205183
2017-01-20,233,330.73,132.652,56.9321888412017%,677.999999999997,17.4278524472222,9.580630225,17.4278524472222,NA,17.4278524472222,9.580630225,17.4278524472222
2017-01-21,233,330.688,132.494,56.8643776824034%,-158.000000000015,7.67083218829612,9.499535892,7.67083218829645,NA,7.67083218829645,9.499535892,7.67083218829645
2017-01-22,233,330.976,133.58,57.3304721030043%,1086.00000000001,20.4877705724446,7.918326128,20.4877705724446,NA,20.4877705724446,7.918326128,20.4877705724446
2017-01-23,233,331.07,133.94,57.4849785407725%,359.999999999985,13.1514200416665,8.984753375,13.1514200416665,NA,13.1514200416665,8.984753375,13.1514200416665
2017-01-24,233,331.31,134.867,57.8828326180258%,927.000000000021,20.5665608456669,9.837394179,20.5665608456666,NA,20.5665608456666,9.837394179,20.5665608456666
2017-01-25,233,331.658,136.21,58.4592274678112%,1342.99999999999,26.5439814814814,11,26.5439814814817,NA,26.5439814814817,11,26.5439814814817
2017-01-26,233,332.06,137.767,59.1274678111588%,1556.99999999999,26.5508333333332,8.53,26.5508333333332,NA,26.5508333333332,8.53,26.5508333333332
2017-01-27,233,332.49,139.466,59.856652360515%,1699.00000000001,28.456156848852,8.791804997,28.456156848852,NA,28.456156848852,8.791804997,28.456156848852
2017-01-28,233,332.624,139.995,60.0836909871245%,528.999999999996,15.3299211721851,9.207235987,15.3299211721851,NA,15.3299211721851,9.207235987,15.3299211721851
2017-01-29,233,332.81,140.73,60.3991416309013%,734.999999999985,17.5751400184443,9.068195574,17.5751400184443,NA,17.5751400184443,9.068195574,17.5751400184443
2017-01-30,233,332.88,141.006,60.5175965665236%,276.00000000001,12.9504458244446,9.75600138,12.9504458244446,NA,12.9504458244446,9.75600138,12.9504458244446
2017-01-31,233,333.27,142.568,61.187982832618%,1562.00000000001,26.9662922837038,8.88758858,26.9662922837038,NA,26.9662922837038,8.88758858,26.9662922837038
2017-02-01,233,333.65,144.1,61.8454935622318%,1531.99999999998,26.313191710148,8.828704187,26.5601856684813,NA,26.5601856684813,8.828704187,26.5601856684813
2017-02-02,233,333.69,144.187272727,61.8829496682403%,87.2727269999984,8.80537508101836,8.7212,9.73130100694443,NA,9.73130100694443,8.7212,9.73130100694443
2017-02-03,233,333.54,143.90975,61.7638412017167%,-277.52272699999,5.21078854332022,8.42285714285714,5.21078854332022,NA,5.21078854332022,8.42285714285714,5.21078854332022
2017-02-04,233,333.39,143.052,61.3957081545064%,-857.749999999982,1,8.43,4.49376595873423,negative,4.49376595873423,14.4214279957714,NA
